state,n_positive,feature_type,model,auroc_mean,auroc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auroc_group_2,auroc_group_3,auroc_group_4,auroc_group_5,auroc_group_6,auroc_group_7,auroc_group_8,auroc_group_9,auroc_group_10
Conflicted,19,transcript,RandomForest,0.4229916897506925,0.044343830853348136,0.3195879982086879,0.02629811620945245,0.3923376623376623,0.03396581873940154,0.2736842105263158,0.03938586722919938,0.8833333333333334,0.711111111111111,0.5222222222222221,0.625,0.39714285714285713,,0.4333333333333334,0.5833333333333334,0.6111111111111112
Conflicted,19,transcript,SVM,0.3337950138504155,0.07075380075666464,0.3749000337235631,0.050569911554910085,0.4263906142167012,0.04111248683210975,0.3473684210526316,0.07877173445839876,0.11666666666666667,0.4444444444444445,0.38888888888888884,0.375,0.4128571428571428,,0.5666666666666667,0.04166666666666667,0.3888888888888889
Conflicted,19,combined,LogisticRegression,0.4664819944598338,0.07132842964844799,0.42971334971334973,0.06618170028970338,0.4552871148459383,0.06799965089752553,0.41052631578947363,0.07735230766683719,0.5166666666666667,0.7,0.6666666666666667,0.625,0.29571428571428576,,0.5,0.7708333333333334,0.6111111111111112
Conflicted,19,combined,RandomForest,0.4274238227146815,0.056373743365828254,0.29839861751152075,0.10204688040763497,0.3717948717948718,0.09730085108210398,0.25263157894736843,0.10205641805087008,0.8833333333333334,0.5111111111111111,0.5333333333333333,0.625,0.3361904761904762,,0.4333333333333334,0.6666666666666666,0.6111111111111112
Conflicted,19,combined,SVM,0.3626038781163435,0.05862113713644899,0.38944989969380217,0.028191558460329856,0.4103119706380577,0.03259442037954129,0.3789473684210526,0.061378440998371586,0.11666666666666667,0.4333333333333334,0.42222222222222217,0.5,0.6738095238095237,,0.5666666666666667,0.375,0.3888888888888889
Disengaged,18,prosodic,LogisticRegression,0.42901234567901236,0.06579216096036655,0.39670506912442394,0.07968844458399604,0.43516483516483523,0.06783469212969724,0.36666666666666664,0.090267093384844,0.8666666666666668,,0.1,,0.61,0.175,,0.3402777777777778,0.375
Disengaged,18,prosodic,RandomForest,0.42592592592592593,0.1375414750877111,0.30097072879330944,0.12361452752837439,0.36800976800976803,0.14135331852636618,0.2555555555555556,0.10886621079036347,0.8333333333333334,,0.5,,0.8433333333333334,0.315,,0.08680555555555555,0.40625
Disengaged,18,prosodic,SVM,0.4049382716049383,0.200597339939325,0.35769423558897245,0.17349980626857722,0.3619607843137255,0.1624038472810537,0.3555555555555555,0.18459164139817943,0.4666666666666667,,0.8,,0.2833333333333333,0.515,,0.9166666666666667,0.5
Disengaged,18,transcript,LogisticRegression,0.6790123456790124,0.05056456152166026,0.6669369369369369,0.019496960861482632,0.6289587605377078,0.03067201268499949,0.711111111111111,0.022222222222222233,0.6333333333333334,,0.4333333333333334,,0.7,0.8099999999999999,,0.8055555555555556,0.625
Disengaged,18,transcript,RandomForest,0.5219135802469136,0.0700855183409218,0.4656669226830517,0.09345853646120239,0.5075486604898369,0.07917255815405726,0.4333333333333333,0.10772621905369621,0.5666666666666668,,0.5333333333333334,,0.51,0.735,,0.7500000000000001,0.7708333333333334
Disengaged,18,transcript,SVM,0.395679012345679,0.13977631443314253,0.6254887218045113,0.12190759584820962,0.6013636363636363,0.05883862227376146,0.6666666666666667,0.18257418583505539,0.5666666666666668,,0.6,,0.39333333333333337,0.51,,0.5416666666666666,0.7395833333333333
Disengaged,18,combined,LogisticRegression,0.6555555555555556,0.052690166254008144,0.6025810153364333,0.05580304641513854,0.596671826625387,0.041220210014698354,0.6111111111111112,0.0785674201318386,0.5666666666666668,,0.3666666666666667,,0.6900000000000001,0.795,,0.763888888888889,0.625
Disengaged,18,combined,RandomForest,0.5114197530864197,0.07917493880205272,0.4696407350819115,0.05308586991913871,0.4998692810457516,0.048954902829032795,0.4444444444444445,0.060858061945018464,0.7666666666666667,,0.5,,0.545,0.5675,,0.7013888888888888,0.71875
Disengaged,18,combined,SVM,0.36913580246913585,0.12542186091202348,0.5644654776233724,0.1753744475453007,0.5614388243335611,0.10113746423472798,0.5888888888888889,0.22388268532899874,0.6,,0.3666666666666667,,0.42666666666666664,0.53,,0.5555555555555556,0.7604166666666667
Frustrated,16,prosodic,LogisticRegression,0.30546875,0.03354829773997483,0.34270353302611367,0.0610787921603924,0.38142857142857145,0.05238960967419074,0.3125,0.06846531968814576,,0.5777777777777777,0.41111111111111115,,0.5,0.4833333333333334,,0.2916666666666667,
Frustrated,16,prosodic,RandomForest,0.31484375,0.08363754693803795,0.2478988603988604,0.11716861935398964,0.31386363636363634,0.1299324363526249,0.2125,0.12247448713915891,,0.28888888888888886,0.6,,0.6555555555555556,0.5666666666666667,,0.625,
Frustrated,16,prosodic,SVM,0.452734375,0.14221325316228442,0.20076195668399563,0.14863047542054594,0.2770782159017453,0.20945218333024762,0.175,0.15,,0.5,0.7222222222222222,,0.48888888888888893,0.55,,0.7083333333333333,
Frustrated,16,transcript,LogisticRegression,0.33828125,0.05438532588736598,0.33930009775171066,0.07515846262730574,0.36235294117647054,0.05527047192924822,0.325,0.09185586535436918,,0.2777777777777778,0.17777777777777776,,0.35,0.05,,0.25,
Frustrated,16,transcript,RandomForest,0.237890625,0.04706018109326876,0.22444546194546194,0.08341122396773551,0.25977272727272727,0.08872256880228407,0.2,0.082915619758885,,0.40555555555555556,0.4111111111111111,,0.30277777777777776,0.16666666666666669,,0.2916666666666667,
Frustrated,16,transcript,SVM,0.277734375,0.13538072940611323,0.17544991240643415,0.09525359263201043,0.2469047619047619,0.14071327853962332,0.1375,0.07288689868556625,,0.37777777777777777,0.36666666666666664,,0.5722222222222222,0.8,,0.8333333333333334,
Frustrated,16,combined,LogisticRegression,0.2640625,0.038001207834422845,0.24686095661846497,0.05857708648887836,0.27704517704517706,0.048971739428982176,0.225,0.06373774391990981,,0.34444444444444444,0.18888888888888888,,0.2666666666666667,0.11666666666666667,,0.22222222222222224,
Frustrated,16,combined,RandomForest,0.244921875,0.038878472764902305,0.22913353313353313,0.09472728999385104,0.27882352941176475,0.11473193008162748,0.2,0.09185586535436918,,0.5111111111111111,0.25,,0.3055555555555555,0.2916666666666667,,0.375,
Frustrated,16,combined,SVM,0.31015625,0.16231585118796932,0.12544677544677546,0.0885003885003885,0.17287878787878788,0.10802552159081602,0.1,0.07500000000000001,,0.3111111111111111,0.55,,0.6222222222222221,1.0,,0.5694444444444445,
Surprised,15,prosodic,LogisticRegression,0.447111111111111,0.07968332384360874,0.4790191964135235,0.09734720456873212,0.4676704014939309,0.09130064123389507,0.49333333333333335,0.1083205120618128,0.0,0.59375,0.32222222222222224,0.5,0.4444444444444445,,0.5,,0.6666666666666666
Surprised,15,prosodic,RandomForest,0.33377777777777784,0.1719971288878946,0.3791575091575091,0.10465581284992592,0.39031399972576447,0.11785635079122843,0.37333333333333335,0.09977753031397177,0.2666666666666667,0.71875,0.42777777777777776,0.375,0.35555555555555557,,0.0,,0.8333333333333334
Surprised,15,prosodic,SVM,0.5493333333333333,0.11526801832851434,0.3309350132625995,0.01708264514211624,0.34583651642475177,0.025981439646595182,0.31999999999999995,0.026666666666666658,0.5333333333333334,0.625,0.6555555555555556,0.75,0.7666666666666666,,0.7,,0.8333333333333334
Surprised,15,transcript,LogisticRegression,0.5226666666666667,0.07279126253359375,0.5421645021645022,0.057245572530072876,0.5290899949723479,0.06622766842542306,0.5599999999999999,0.06798692684790378,0.8666666666666668,0.625,0.4666666666666667,0.125,0.5222222222222223,,0.8,,0.0
Surprised,15,transcript,RandomForest,0.42844444444444446,0.09525430549875098,0.4995742369935918,0.06732057598138923,0.49800653594771244,0.09843321700569445,0.5066666666666666,0.05333333333333332,0.8666666666666668,0.65625,0.6,0.5,0.3722222222222223,,0.5,,0.08333333333333333
Surprised,15,transcript,SVM,0.2688888888888889,0.09714949660887606,0.5334896518016652,0.044954931011100596,0.5111111111111111,0.028980129774373035,0.5599999999999999,0.06798692684790378,0.2,0.3125,0.39999999999999997,0.5,0.5611111111111111,,0.2,,0.6666666666666666
Surprised,15,combined,LogisticRegression,0.5102222222222221,0.09911808645110332,0.5534191889922113,0.06757353377133275,0.5405716402620426,0.08876343217348218,0.5733333333333334,0.06798692684790378,0.8666666666666668,0.5625,0.37777777777777777,0.125,0.4666666666666667,,0.8,,0.16666666666666666
Surprised,15,combined,RandomForest,0.41155555555555556,0.10308237147370046,0.4674039938556067,0.11330494381343896,0.44666666666666666,0.09914215383310303,0.49333333333333335,0.13727506854649332,0.9,0.75,0.6222222222222223,0.5,0.33333333333333337,,0.7,,0.3333333333333333
Surprised,15,combined,SVM,0.3204444444444444,0.06717436312856562,0.5229223548050022,0.06399976685137856,0.5027077497665732,0.042466111026406114,0.5466666666666666,0.08844332774281065,0.2,0.3125,0.29999999999999993,0.5,0.6666666666666667,,0.3,,0.6666666666666666
